RAJ2000,DEJ2000,Vmag,e_Vmag,Bmag,e_Bmag,gpmag,e_gpmag,rpmag,e_rpmag,ipmag,e_ipmag,fuv_mag,nuv_mag,err,present,min_mag,max_mag
130.259229,8.833425,14.397,0.014,14.867,0.056,15.204,1.068,14.359,0.111,14.689,1.003,22.445,17.812,1.470471353002159,0,12.19,12.21
118.978544,23.007099,10.994,0.034,11.343,0.062,11.159,0.09,10.951,0.039,11.99,1.464,18.383,14.529,1.468985023749391,0,12.19,12.21
337.225598,-28.019039,11.918,0.502,12.49,0.417,12.411,0.74,12.117,0.947,11.697,0.529,23.656,17.077,1.4663365916459972,0,12.19,12.21
129.382055,29.56312,12.599,0.042,12.876,0.353,12.791,0.031,12.468,0.068,13.372,1.415,21.466,16.251,1.4608843212246478,0,12.19,12.21
128.474605,7.246072,11.982,0.045,12.525,0.072,12.579,0.914,11.902,0.101,12.36,1.123,22.652,16.058,1.4539377565769451,0,12.19,12.21
119.084381,22.294792,12.786,0.06,13.343,0.041,13.067,0.067,12.644,0.04,13.573,1.45,22.415,16.653,1.4539154033161628,0,12.19,12.21
338.025912,-28.103844,12.194,0.638,12.525,0.486,12.352,0.674,12.118,0.772,12.147,0.641,21.61,15.83,1.4506484756825135,0,12.19,12.21
337.992124,-28.132358,10.496,0.887,10.93,0.427,10.551,0.598,9.996,0.864,9.315,0.127,23.408,17.74,1.4454504488220965,0,10.67,0.14
119.613908,22.163374,11.36,0.068,11.923,0.054,11.652,0.058,11.253,0.052,12.087,1.439,22.294,15.807,1.4437205408249896,0,10.67,0.14
128.647764,7.522709,14.512,0.05,15.106,0.055,15.265,0.937,14.405,0.014,14.887,1.092,22.854,18.615,1.4408865326596678,0,10.67,0.14
119.599923,22.412978,10.942,0.054,11.634,0.049,11.294,0.059,10.775,0.049,11.545,1.436,23.338,16.452,1.4398940933277002,0,10.67,0.14
118.884414,33.869633,11.703,0.039,12.362,0.072,11.975,0.051,11.506,0.063,11.961,1.431,23.22,16.97,1.4356308717772823,0,10.67,0.14
118.981865,33.782306,11.435,0.039,11.926,0.066,11.628,0.05,11.298,0.067,11.807,1.428,20.721,15.298,1.4324978184974662,0,10.67,0.14
119.57766,22.550129,11.769,0.048,12.277,0.056,12.02,0.067,11.663,0.04,12.488,1.427,21.06,15.591,1.431033891981598,0,10.67,0.14
117.157248,32.106624,11.185,0.053,11.694,0.039,11.415,0.04,11.054,0.064,11.583,1.423,21.846,15.186,1.4265184891896776,0,10.67,0.14
337.073286,-28.285804,11.7,0.408,12.383,0.36,12.276,0.737,11.834,0.97,11.348,0.504,21.336,16.728,1.426235955233215,0,10.67,0.14
119.577528,22.399131,10.639,0.053,11.148,0.055,10.907,0.06,10.539,0.048,11.332,1.413,20.354,14.457,1.4171474870316074,0,12.596,0.14
119.39152,22.559994,11.381,0.047,11.648,0.053,11.502,0.068,11.408,0.04,12.386,1.404,17.475,14.358,1.4079978693165696,0,12.596,0.14
38.944484,-6.679866,10.394,0.16,11.995,0.205,11.307,0.509,10.312,0.679,9.833,1.088,23.665,21.003,1.4040979310575172,0,12.596,0.14
129.924756,8.759612,12.207,0.096,12.854,0.157,12.801,0.734,12.115,0.196,12.489,1.166,23.146,16.934,1.4037781163702474,0,12.596,0.14
129.532694,8.415689,11.123,0.102,11.54,0.159,11.814,1.003,11.091,0.11,11.484,0.957,19.032,14.524,1.4034397030154162,0,12.596,0.14
136.253383,13.706657,11.779,0.026,12.304,0.058,12.557,1.158,11.628,0.029,11.885,0.788,22.221,15.926,1.402422546880932,0,12.596,0.14
337.108038,-28.289295,12.5,0.405,12.99,0.359,12.962,0.746,12.732,0.967,12.329,0.421,22.933,16.71,1.4006255745201857,0,12.596,0.14
130.628258,8.765901,12.5,0.119,13.977,0.085,13.836,1.041,11.865,0.05,11.648,0.924,23.255,21.095,1.400479560721969,0,12.596,0.14
120.029652,21.916363,11.383,0.094,12.121,0.041,11.787,0.023,11.159,0.082,11.722,1.391,23.479,16.554,1.3973728922517423,0,12.596,0.14
40.323235,-7.887181,10.292,0.193,11.124,0.218,10.857,0.563,10.27,0.481,10.566,1.148,21.884,16.89,1.3967845216782722,0,12.596,0.14
128.826137,7.641911,14.638,0.048,15.288,0.081,15.418,0.944,14.543,0.053,15.033,1.023,16.729,17.042,1.396187308350853,0,12.596,0.14
337.858931,-28.371759,12.144,0.586,12.496,0.464,12.559,0.787,12.355,0.874,11.739,0.043,21.133,15.586,1.3941972600747714,0,12.596,0.14
130.389572,8.793114,15.292,0.077,15.73,0.132,15.897,0.929,15.181,0.086,15.612,1.022,23.321,18.166,1.3922190919535615,0,12.596,0.14
337.046779,-28.562504,12.038,0.405,12.649,0.355,12.585,0.755,12.227,0.949,11.808,0.416,23.818,17.373,1.3905869264450892,0,12.596,0.14
130.126866,9.032914,13.382,0.063,13.945,0.111,13.959,0.726,13.31,0.169,13.734,1.166,23.081,17.252,1.3897780398322603,1,13.23,13.28
128.540245,7.300109,13.549,0.084,14.029,0.067,14.174,0.953,13.474,0.048,13.912,0.997,22.471,17.212,1.384220719394129,0,13.23,13.28
325.993763,11.592874,10.968,0.109,11.581,0.099,11.575,0.899,10.828,0.076,10.963,1.039,22.954,15.696,1.383900285425218,0,13.23,13.28
40.948751,-6.842898,9.901,0.089,10.415,0.029,10.188,0.108,9.61,0.05,10.679,1.373,22.206,15.144,1.3813236405708835,0,13.23,13.28
136.200088,13.731803,11.838,0.035,12.45,0.058,12.643,1.146,11.652,0.03,11.91,0.762,23.127,17.226,1.378204992009534,0,13.23,13.28
120.309251,22.100777,12.809,0.09,13.305,0.072,13.078,0.026,12.699,0.086,13.665,1.367,22.284,16.598,1.3747890747311022,0,13.23,13.28
119.271813,21.852516,10.928,0.076,11.502,0.03,11.239,0.043,10.808,0.062,11.467,1.37,21.435,15.13,1.374506820645136,0,13.23,13.28
327.438084,3.197437,14.877,0.666,15.153,0.757,14.775,0.653,14.658,0.509,14.698,0.426,20.018,17.729,1.3724325120019565,1,14.0,15.25
120.219863,21.837575,10.834,0.083,11.46,0.055,11.184,0.029,10.674,0.09,11.306,1.365,21.746,15.856,1.3718892083546688,0,14.0,15.25
119.519734,22.752031,12.831,0.051,13.44,0.075,13.12,0.082,12.682,0.053,13.429,1.365,22.463,17.414,1.3714897010185676,0,14.0,15.25
129.39645,8.173933,10.165,0.044,10.854,0.089,10.985,0.951,10.079,0.197,10.502,0.961,22.327,15.695,1.369886126654329,0,14.0,15.25
