RAJ2000,DEJ2000,nobs,Vmag,e_Vmag,Bmag,e_Bmag,gpmag,e_gpmag,rpmag,e_rpmag,ipmag,e_ipmag,fuv_mag,nuv_mag,present,type,min_mag,max_mag,class,Jmag,Hmag,Kmag,period,fuv-nuv,nuv-B,B-V,g-V,g-r,r-i,i-J,J-H,H-K
120.544132,42.474885,5,10.048,0.017,10.145,0.155,10.262,0.0,10.08,0.054,10.109,0.045,15.953,12.982,1,ACV|roAm|roAp|SXARI,9.94,9.97,General Rotators,9.515,9.446,9.382,,2.971,2.8369999999999997,0.09699999999999953,0.2140000000000004,0.18200000000000038,-0.028999999999999915,0.5939999999999994,0.06900000000000084,0.06400000000000006
7.428928,4.82134,4,14.193,0.085,14.737,0.017,14.483,0.047,14.107,0.091,14.046,0.106,23.069,17.764,1,DSCT|GDOR|SXPHE,14.15,14.18,Оґ Scuti & HADS,13.316,13.06,12.968,,5.305,3.0269999999999992,0.5440000000000005,0.2900000000000009,0.3760000000000012,0.06099999999999994,0.7299999999999986,0.2560000000000002,0.09200000000000053
140.097512,2.227877,4,13.608,0.086,14.803,0.068,14.208,0.078,13.167,0.091,12.686,0.053,22.253,19.989,1,ROT,13.35,0.61,General Rotators,11.303,10.661,10.476,,2.2639999999999993,5.186,1.1950000000000003,0.5999999999999996,1.0410000000000004,0.48099999999999987,1.3829999999999991,0.6420000000000012,0.18499999999999872
352.106962,-8.666869,14,13.503,0.085,14.494,0.071,13.985,0.064,13.176,0.053,12.822,0.1,22.485,19.661,1,E,13.12,13.39,Eclipsing,11.591,11.051,10.922,,2.823999999999998,5.167000000000002,0.9909999999999997,0.4819999999999993,0.8089999999999993,0.354000000000001,1.2309999999999999,0.5399999999999991,0.12899999999999956
327.639311,-4.138905,20,13.703,0.091,14.107,0.034,13.855,0.022,13.647,0.099,13.596,0.097,21.923,16.999,1,DSCT|GDOR|SXPHE,13.59,13.62,Оґ Scuti & HADS,12.854,12.625,12.642,,4.9239999999999995,2.8919999999999995,0.4039999999999999,0.15200000000000102,0.20800000000000018,0.051000000000000156,0.7420000000000009,0.2289999999999992,-0.01699999999999946
310.374478,-5.046096,10,13.814,0.07,14.148,0.032,13.899,0.025,13.738,0.054,13.802,0.14,21.082,17.075,1,DSCT|GDOR|SXPHE,13.69,13.72,Оґ Scuti & HADS,13.012,12.878,12.811,,4.0070000000000014,2.9269999999999996,0.33399999999999963,0.08499999999999908,0.1609999999999996,-0.06400000000000006,0.7899999999999991,0.13400000000000034,0.06700000000000017
219.711539,-2.182775,3,11.88,0.014,12.991,0.067,12.386,0.051,11.538,0.013,11.217,0.147,22.761,19.192,1,ROT,12.35,0.14,General Rotators,9.902,9.356,9.24,,3.568999999999999,6.2010000000000005,1.1109999999999989,0.5059999999999985,0.847999999999999,0.32099999999999973,1.3150000000000013,0.5459999999999994,0.11599999999999966
264.821085,55.040555,4,10.835,0.017,11.411,0.102,11.093,0.122,10.727,0.045,10.624,0.038,21.789,15.362,1,EA,10.83,10.9,Eclipsing,9.884,9.667,9.567,,6.427000000000001,3.9510000000000005,0.5759999999999987,0.2579999999999991,0.36599999999999966,0.10299999999999976,0.7400000000000002,0.21700000000000053,0.09999999999999964
143.836706,3.619845,4,15.14,0.021,16.442,0.095,15.77,0.068,14.565,0.077,13.974,0.095,22.199,21.595,1,ROT,14.58,14.61,General Rotators,12.641,12.004,11.837,,0.6040000000000028,5.152999999999999,1.3019999999999996,0.629999999999999,1.205,0.5909999999999993,1.3330000000000002,0.6370000000000005,0.16699999999999982
346.417786,0.247113,7,15.07,0.042,15.412,0.092,15.179,0.049,15.092,0.023,15.144,0.126,21.199,17.724,1,DSCT|GDOR|SXPHE,14.96,15.06,Оґ Scuti & HADS,14.511,14.33,14.426,,3.4750000000000014,2.3119999999999994,0.3420000000000005,0.10899999999999999,0.08699999999999974,-0.0519999999999996,0.6330000000000009,0.18099999999999916,-0.09600000000000009
244.436478,8.916576,9,11.686,0.068,12.547,0.078,12.06,0.049,11.371,0.07,11.091,0.105,22.059,17.915,1,RS,11.57,11.75,Ellipsoidal/Reflection,9.911,9.374,9.241,,4.144000000000002,5.3679999999999986,0.8610000000000007,0.37400000000000055,0.6890000000000001,0.28000000000000114,1.1799999999999997,0.536999999999999,0.1330000000000009
340.930366,0.104825,14,14.446,0.064,15.199,0.069,14.757,0.034,14.226,0.083,14.032,0.11,21.663,19.802,1,DSCT|GDOR|SXPHE,14.24,14.26,Оґ Scuti & HADS,13.04,12.735,12.602,,1.8610000000000007,4.603,0.7530000000000001,0.31099999999999994,0.5309999999999988,0.19400000000000084,0.9920000000000009,0.3049999999999997,0.13299999999999912
347.414745,-30.979996,11,13.257,0.077,14.03,0.045,13.613,0.033,13.055,0.076,12.86,0.119,22.931,18.787,1,ROT,13.07,0.19,General Rotators,11.701,11.348,11.259,,4.144000000000002,4.757,0.7729999999999997,0.35599999999999987,0.5579999999999998,0.19500000000000028,1.158999999999999,0.35299999999999976,0.08900000000000041
